Kepler-395 c
Kepler-438 b
K07179.01
K03010.01
Kepler-442 b
K00463.01
K04550.01
Kepler-62 e
K04036.01
K06676.01
Kepler-155 c
K05475.01
K05856.01
Kepler-235 e
Kepler-436 b
K07554.01
K05236.01
K03282.01
Kepler-69 c
K04450.01
K04103.01
K04054.01
K05202.01
K07587.01
K01871.01
Kepler-22 b
Kepler-443 b
K02020.01
Kepler-26 e
K00854.01
Kepler-61 b
K06343.01
K01876.01
K07470.01
K05276.01
K07345.01
K04016.01
K02834.01
K04458.01
Kepler-439 b
K06734.01
K07136.01
K03946.01
K07040.01
Kepler-309 c
Kepler-441 b
K02770.01
Kepler-186 f
Kepler-174 d
K04356.01
K00959.01
Kepler-296 e
K07235.01
K02626.01
K06425.01
Kepler-452 b
K07223.01
Kepler-62 f
K03138.01
Kepler-296 f
Kepler-440 b
K02418.01
K07591.01
Kepler-442 b
Kepler-1229 b
Kepler-62 f
Kepler-186 f
Kepler-438 b
Kepler-62 e
Kepler-1544 b
Kepler-283 c
Kepler-1410 b
Kepler-1638 b
Kepler-705 b
Kepler-1606 b
Kepler-1090 b
Kepler-1552 b
Kepler-1540 b
Kepler-298 d
K04427.01
#new data from https://arxiv.org/pdf/1710.06758.pdf
K00238.03
K00438.02
K00463.01
K00494.01
K00571.05
K00701.03
K00701.04
K00812.03
K00854.01
K00947.01
K01078.03
K01298.02
K01404.02
K01422.02
K01422.04
K01422.05
K01596.02
K02162.02
K02184.02
K02418.01
K02626.01
K02650.01
K02719.02
K03010.01
K03034.01
K03138.01
K03282.01
K03284.01
K03497.01
K04005.01
K04036.01
K04087.01
K04356.01
K04427.01
K04460.01
K04550.01
K04622.01
K04742.01
K07016.01
K07223.01
K07706.01
K07711.01
K07882.01
K07894.01
K07923.01
K07954.01
K08000.01
K08012.01
K08174.01
