Kepler-296 e,M-Warm Terran,3.5 - 1.1 - 0.5,1.1,0.84,244,34.1,707,0.93
KOI-7235.01*,G-Warm Terran,4.4 - 1.4 - 0.6,1.1,0.75,237,299.7,2121,0.89
KOI-2626.01*,M-Warm Terran,4.0 - 1.3 - 0.6,1.1,0.65,229,38.1,659,0.84
KOI-6425.01*,G-Warm Terran,13.3 - 3.5 - 1.5,1.5,0.68,231,521.1,2308,0.8
Kepler-452 b,G-Warm Terran,4.1 - 1.3 - 0.6,1.1,0.56,220,384.8,1216,0.8
KOI-7223.01*,G-Warm Terran,14.6 - 3.7 - 1.6,1.5,0.57,221,317.1,1803,0.76
Kepler-62 f,K-Warm Terran,10.4 - 2.9 - 1.2,1.4,0.41,204,267.3,848,0.68
KOI-3138.01*,M-Warm Subterran,0.4 - 0.1 - 0.1,0.6,0.47,211,8.7,232,0.68
Kepler-296 f,M-Warm Terran,5.8 - 1.7 - 0.8,1.2,0.37,199,63.3,707,0.67
Kepler-440 b,M-Warm Terran,12.2 - 3.2 - 1.4,1.5,0.39,201,101.1,747,0.66
KOI-2418.01*,M-Warm Terran,4.0 - 1.3 - 0.6,1.1,0.35,196,86.8,723,0.66
KOI-7591.01*,K-Warm Terran,7.2 - 2.1 - 0.9,1.3,0.33,193,328.3,1582,0.63
